,index,title,authors,average_rating,isbn13,language_code,num_pages,categories,description,published_year,new_categories,lower_title,combined_features
1471,2699,Cloudsplitter,Russell Banks,3.91,9780060930868,eng,758.0,Fiction,"A triumph of the imagination and a masterpiece of modern storytelling, Cloudsplitter is narrated by the enigmatic Owen Brown, last surviving son of America's most famous and still controversial political terrorist and martyr, John Brown. Deeply researched, brilliantly plotted, and peopled with a cast of unforgettable characters both historical and wholly invented, Cloudsplitter is dazzling in its re-creation of the political and social landscape of our history during the years before the Civil War, when slavery was tearing the country apart. But within this broader scope, Russell Banks has given us a riveting, suspenseful, heartbreaking narrative filled with intimate scenes of domestic life, of violence and action in battle, of romance and familial life and death that make the reader feel in astonishing ways what it is like to be alive in that time.",1999.0,Fiction,cloudsplitter,"cloudsplitter,Russell Banks,Fiction,A triumph of the imagination and a masterpiece of modern storytelling, Cloudsplitter is narrated by the enigmatic Owen Brown, last surviving son of America's most famous and still controversial political terrorist and martyr, John Brown. Deeply researched, brilliantly plotted, and peopled with a cast of unforgettable characters both historical and wholly invented, Cloudsplitter is dazzling in its re-creation of the political and social landscape of our history during the years before the Civil War, when slavery was tearing the country apart. But within this broader scope, Russell Banks has given us a riveting, suspenseful, heartbreaking narrative filled with intimate scenes of domestic life, of violence and action in battle, of romance and familial life and death that make the reader feel in astonishing ways what it is like to be alive in that time."
1472,2700,Quicksand,Nella Larsen,3.68,9780486451404,eng,125.0,Fiction,Hypocrisy and prejudice compel a principled racially mixed teacher to desert a steady job and a socially prominent fiancâe.,2006.0,Fiction,quicksand,"quicksand,Nella Larsen,Fiction,Hypocrisy and prejudice compel a principled racially mixed teacher to desert a steady job and a socially prominent fiancâe."
1473,2702,Their Eyes Were Watching God,Zora Neale Hurston/Ruby Dee,3.91,9780060776534,en-US,219.0,Fiction,"One of the most important works of twentieth-century American literature, Zora Neale Hurston's beloved 1937 classic, Their Eyes Were Watching God, is an enduring Southern love story sparkling with wit, beauty, and heartfelt wisdom. Told in the captivating voice of a woman who refuses to live in sorrow, bitterness, fear, or foolish romantic dreams, it is the story of fair-skinned, fiercely independent Janie Crawford, and her evolving selfhood through three marriages and a life marked by poverty, trials, and purpose. A true literary wonder, Hurston's masterwork remains as relevant and affecting today as when it was first published -- perhaps the most widely read and highly regarded novel in the entire canon of African American literature.",2006.0,Fiction,their eyes were watching god,"their eyes were watching god,Zora Neale Hurston/Ruby Dee,Fiction,One of the most important works of twentieth-century American literature, Zora Neale Hurston's beloved 1937 classic, Their Eyes Were Watching God, is an enduring Southern love story sparkling with wit, beauty, and heartfelt wisdom. Told in the captivating voice of a woman who refuses to live in sorrow, bitterness, fear, or foolish romantic dreams, it is the story of fair-skinned, fiercely independent Janie Crawford, and her evolving selfhood through three marriages and a life marked by poverty, trials, and purpose. A true literary wonder, Hurston's masterwork remains as relevant and affecting today as when it was first published -- perhaps the most widely read and highly regarded novel in the entire canon of African American literature."
1474,2704,Augustine,Henry Chadwick,3.71,9780192875341,eng,128.0,History,"Describes Augustine's education, discusses the major themes of his writings, and assesses his influence on Western thought",1986.0,History,augustine,"augustine,Henry Chadwick,History,Describes Augustine's education, discusses the major themes of his writings, and assesses his influence on Western thought"
1475,2705,Satan in Goray,Isaac Bashevis Singer/Jacob Sloan/Ruth R. Wisse,3.85,9780374524791,eng,288.0,Fiction,"As messianic zeal sweeps through medieval Poland, the Jews of Goray divide between those who, like the Rabbi, insist that no one can ""force the end"" and those who follow the messianic pretender Sabbatai Zevi. But as hysteria and depravity increase, it becomes clear that it is not the Messiah who has come to Goray.",1996.0,Fiction,satan in goray,"satan in goray,Isaac Bashevis Singer/Jacob Sloan/Ruth R. Wisse,Fiction,As messianic zeal sweeps through medieval Poland, the Jews of Goray divide between those who, like the Rabbi, insist that no one can ""force the end"" and those who follow the messianic pretender Sabbatai Zevi. But as hysteria and depravity increase, it becomes clear that it is not the Messiah who has come to Goray."
1476,2706,Lights Out,Peter Abrahams,3.65,9780345445780,eng,352.0,Fiction,"Emerging from a fifteen-year prison sentence for a crime he did not commit, Eddie Nye vows to learn who was really responsible and searches for answers from his Wall Street freebooter brother, his lover Karen, and a young sharpshooter. Reprint.",2002.0,Fiction,lights out,"lights out,Peter Abrahams,Fiction,Emerging from a fifteen-year prison sentence for a crime he did not commit, Eddie Nye vows to learn who was really responsible and searches for answers from his Wall Street freebooter brother, his lover Karen, and a young sharpshooter. Reprint."
1477,2708,Her Smoke Rose Up Forever,James Tiptree Jr.,4.21,9781892391209,eng,508.0,Fiction,"These 18 darkly complex short stories and novellas touch upon human nature and perception, metaphysics and epistemology, and gender and sexuality, foreshadowing a world in which biological tendencies bring about the downfall of humankind. Revisions from the author's notes are included, allowing a deeper view into her world and a better understanding of her work. The Nebula Award?winning short story Love Is the Plan, the Plan Is Death, the Hugo Award?winning novella The Girl Who Was Plugged In, and the Hugo and Nebula Award?winning novella Houston, Houston, Do You Read? are included.",2004.0,Fiction,her smoke rose up forever,"her smoke rose up forever,James Tiptree Jr.,Fiction,These 18 darkly complex short stories and novellas touch upon human nature and perception, metaphysics and epistemology, and gender and sexuality, foreshadowing a world in which biological tendencies bring about the downfall of humankind. Revisions from the author's notes are included, allowing a deeper view into her world and a better understanding of her work. The Nebula Award?winning short story Love Is the Plan, the Plan Is Death, the Hugo Award?winning novella The Girl Who Was Plugged In, and the Hugo and Nebula Award?winning novella Houston, Houston, Do You Read? are included."
1478,2709,The Starry Rift,James Tiptree Jr.,3.81,9780312890216,eng,250.0,Fiction,"This novel set in the far-future and filled with action, extraordinary characters, and visionary speculation, chronicles the human exploration of alien planets with strange and mysterious life forms",1994.0,Fiction,the starry rift,"the starry rift,James Tiptree Jr.,Fiction,This novel set in the far-future and filled with action, extraordinary characters, and visionary speculation, chronicles the human exploration of alien planets with strange and mysterious life forms"
1479,2710,The Roman Empire,Colin      Wells,3.58,9780674777705,en-US,384.0,History,Offers a history of the Roman Empire from 44 B.C. to A.D. 235.,1995.0,History,the roman empire,"the roman empire,Colin      Wells,History,Offers a history of the Roman Empire from 44 B.C. to A.D. 235."
1480,2711,Pop Internationalism,Paul Krugman,3.68,9780262611336,eng,221.0,Business & Economics,"""Pop internationalists""--people who speak impressively about international trade while ignoring basic economics and misusing economic figures are the target of this collection of Paul Krugman's most recent essays. In the clear, readable, entertaining style that brought acclaim for his best-selling Age of Diminished Expectations, Krugman explains what real economic analysis is. He discusses economic terms and measurements, like ""value-added"" and GDP, in simple language so that readers can understand how pop internationalists distort, and sometimes contradict, the most basic truths about world trade. All but two of the essays have previously appeared in such publications as Foreign Affairs, Scientific American, and the Harvard Business Review. The first five essays take on exaggerations of foreign competition's effects on the U.S. economy and represent Krugman's central criticisms of public debate over world trade. The next three essays expose further distortions of economic theory and include the complete, unaltered, controversial review of Laura Tyson's Who's Bashing Whom. The third group of essays highlights misconceptions about competition from less industrialized countries. The concluding essays focus on interesting and legitimate economic questions, such as the effects of technological change on society.",1997.0,Business & Economics,pop internationalism,"pop internationalism,Paul Krugman,Business & Economics,""Pop internationalists""--people who speak impressively about international trade while ignoring basic economics and misusing economic figures are the target of this collection of Paul Krugman's most recent essays. In the clear, readable, entertaining style that brought acclaim for his best-selling Age of Diminished Expectations, Krugman explains what real economic analysis is. He discusses economic terms and measurements, like ""value-added"" and GDP, in simple language so that readers can understand how pop internationalists distort, and sometimes contradict, the most basic truths about world trade. All but two of the essays have previously appeared in such publications as Foreign Affairs, Scientific American, and the Harvard Business Review. The first five essays take on exaggerations of foreign competition's effects on the U.S. economy and represent Krugman's central criticisms of public debate over world trade. The next three essays expose further distortions of economic theory and include the complete, unaltered, controversial review of Laura Tyson's Who's Bashing Whom. The third group of essays highlights misconceptions about competition from less industrialized countries. The concluding essays focus on interesting and legitimate economic questions, such as the effects of technological change on society."
1481,2712,Teleportation: From Star Trek to Tesla,Commander X/Tim R. Swartz,2.83,9781892062437,eng,139.0,"Body, Mind & Spirit","NOW YOU CAN TRAVEL UP, UP and AWAY...INSTANTLY! ** Mysterious Disappearances Solved! ** Classified Experiments Concerning the Philadelphia Experiment, Time Travel and Area 51 are revealed FOR THE FIRST TIME! ** PROOF ALIENS HAVE LEFT BEHIND IMPORTANT TECHNOLOGICAL CLUES! ** IT IS POSSIBLE TO MASTER THE ART OF TELEPORTATION WITH A BIT OF PRACTICE ON THE PART OF THE READER! The well-known phrase, ""Beam me up, Scotty,"" from the popular television series STAR TREK first introduced the public to the idea of teleportation -- instantaneous transport through time and space -- although the term was probably originally coined by the world famous author of books on unexplained mysteries, the late Charles Fort. Long thought to be the work of over imaginative writers, the author now takes the subject beyond the void of pure speculation and into the realm of 21st Century science. For according the COMMANDER X -- a former military intelligence operative with connections to the CIA and Defense Department, on a number of occasions he witnessed the testing of highly classified super TOP SECRET black project aircraft engaged in maneuvers over Area 51 in the Nevada desert. Furthermore, the national whistle-blower claims he actually sat at the helm of one of these ships as it bio-located from one place to another...INSTANTLY! What was so unusual about these flights over Area 51 is the fact that the technology being tested involved principles of teleportation gleamed from reverse engineering of alien spacecraft which have crashed to Earth. The author maintains that extraterrestrials have been trying to feed us clues regarding the existence of this interstellar mode of transport which will enable us to instantly maneuver between two points in the twinkle of an eye! COMMANDER X further insists it is within the realm of possibility for the reader of this book to learn the fundamentals of teleportation and participate in experiments of their very own -- no matter how outlandish this may seem! In detail, he describes his own work with the military in developing skills necessary to engage in spontaneous teleportation...skills that could very well lead you along the path to personal gratification and success. The book also delves into the impact the STAR TREK series has had on introducing the general public to what is just around the bend for our world and the possibility this is part of a grass roots campaign to inform the public on a need to know basis a little bit at a time. In addition, up to date information from the Lost Journals of Nikola Tesla reveal what the great mind of all time knew about teleportation and how he helped institute this process as part of the Top Secret Philadelphia Experiment.",2001.0,"Body, Mind & Spirit",teleportation: from star trek to tesla,"teleportation: from star trek to tesla,Commander X/Tim R. Swartz,Body, Mind & Spirit,NOW YOU CAN TRAVEL UP, UP and AWAY...INSTANTLY! ** Mysterious Disappearances Solved! ** Classified Experiments Concerning the Philadelphia Experiment, Time Travel and Area 51 are revealed FOR THE FIRST TIME! ** PROOF ALIENS HAVE LEFT BEHIND IMPORTANT TECHNOLOGICAL CLUES! ** IT IS POSSIBLE TO MASTER THE ART OF TELEPORTATION WITH A BIT OF PRACTICE ON THE PART OF THE READER! The well-known phrase, ""Beam me up, Scotty,"" from the popular television series STAR TREK first introduced the public to the idea of teleportation -- instantaneous transport through time and space -- although the term was probably originally coined by the world famous author of books on unexplained mysteries, the late Charles Fort. Long thought to be the work of over imaginative writers, the author now takes the subject beyond the void of pure speculation and into the realm of 21st Century science. For according the COMMANDER X -- a former military intelligence operative with connections to the CIA and Defense Department, on a number of occasions he witnessed the testing of highly classified super TOP SECRET black project aircraft engaged in maneuvers over Area 51 in the Nevada desert. Furthermore, the national whistle-blower claims he actually sat at the helm of one of these ships as it bio-located from one place to another...INSTANTLY! What was so unusual about these flights over Area 51 is the fact that the technology being tested involved principles of teleportation gleamed from reverse engineering of alien spacecraft which have crashed to Earth. The author maintains that extraterrestrials have been trying to feed us clues regarding the existence of this interstellar mode of transport which will enable us to instantly maneuver between two points in the twinkle of an eye! COMMANDER X further insists it is within the realm of possibility for the reader of this book to learn the fundamentals of teleportation and participate in experiments of their very own -- no matter how outlandish this may seem! In detail, he describes his own work with the military in developing skills necessary to engage in spontaneous teleportation...skills that could very well lead you along the path to personal gratification and success. The book also delves into the impact the STAR TREK series has had on introducing the general public to what is just around the bend for our world and the possibility this is part of a grass roots campaign to inform the public on a need to know basis a little bit at a time. In addition, up to date information from the Lost Journals of Nikola Tesla reveal what the great mind of all time knew about teleportation and how he helped institute this process as part of the Top Secret Philadelphia Experiment."
1482,2713,Glass House,Philip Johnson/Toshio Nakamura,4.0,9781580931861,eng,256.0,Architecture,"The Glass House, designed by celebrated architect Philip Johnson as a personal retreat, is an icon of modern architecture. A crystalline box set in a serene New England landscape, the house is now owned by the National Trust for Historic Preservation, which will open it to visitors in April 2007. Johnson used his property near New Canaan, Connecticut, as an architectural laboratory, adding nine additional structures over a forty-year period. Among them are the Ghost House, a chain-link tribute to Frank Gehry, and the witty, bright red Gate House. Glass House is a unique presentation of the Glass House complex in words and photographs. Compiled by eminent critic Toshio Nakamura under the sponsorship of YKK AP Inc., the volume features a specially commissioned suite of photographs, taken throughout the four seasons, by renowned architectural photographer Michael Moran, including cross-processed images and images taken with infrared film. The deluxe graphic presentation, with distinctive paper stocks and foldout pages reproducing Johnson's original drawings, was conceived by designer Michael Rock of 2x4.",2007.0,Architecture,glass house,"glass house,Philip Johnson/Toshio Nakamura,Architecture,The Glass House, designed by celebrated architect Philip Johnson as a personal retreat, is an icon of modern architecture. A crystalline box set in a serene New England landscape, the house is now owned by the National Trust for Historic Preservation, which will open it to visitors in April 2007. Johnson used his property near New Canaan, Connecticut, as an architectural laboratory, adding nine additional structures over a forty-year period. Among them are the Ghost House, a chain-link tribute to Frank Gehry, and the witty, bright red Gate House. Glass House is a unique presentation of the Glass House complex in words and photographs. Compiled by eminent critic Toshio Nakamura under the sponsorship of YKK AP Inc., the volume features a specially commissioned suite of photographs, taken throughout the four seasons, by renowned architectural photographer Michael Moran, including cross-processed images and images taken with infrared film. The deluxe graphic presentation, with distinctive paper stocks and foldout pages reproducing Johnson's original drawings, was conceived by designer Michael Rock of 2x4."
1483,2714,The Echo of Greece,Edith Hamilton,4.09,9780393002317,eng,224.0,History,"Tells of Greek life during the 4th century, the type of men it produced, and important events which took place",1957.0,History,the echo of greece,"the echo of greece,Edith Hamilton,History,Tells of Greek life during the 4th century, the type of men it produced, and important events which took place"
1484,2715,Buddha,Karen Armstrong,3.89,9780143034360,eng,240.0,Biography & Autobiography,"A portrait of the Buddha explores his identities both as an archetypal religious icon and as a man, chronicling his journey from his decision to leave a life of ease and power to his attainment of spiritual enlightenment.",2004.0,Biography & Autobiography,buddha,"buddha,Karen Armstrong,Biography & Autobiography,A portrait of the Buddha explores his identities both as an archetypal religious icon and as a man, chronicling his journey from his decision to leave a life of ease and power to his attainment of spiritual enlightenment."
1485,2716,Hiroshima,John Hersey,3.97,9780679721031,eng,152.0,History,The classic tale of the day the first atom bomb was dropped offers a haunting evocation of the memories of survivors and an appeal to the conscience of humanity,1989.0,History,hiroshima,"hiroshima,John Hersey,History,The classic tale of the day the first atom bomb was dropped offers a haunting evocation of the memories of survivors and an appeal to the conscience of humanity"
1486,2717,The Wall,John Hersey,4.28,9780394756967,eng,640.0,Fiction,"Combines factual history and fictional details to relate the motives, impulses, and deeds of individuals in the Warsaw ghetto during the Nazi persecution",1988.0,Fiction,the wall,"the wall,John Hersey,Fiction,Combines factual history and fictional details to relate the motives, impulses, and deeds of individuals in the Warsaw ghetto during the Nazi persecution"
1487,2718,Silent Spring,Rachel Carson/Linda Lear/Edward O. Wilson,3.97,9780618249060,eng,378.0,Nature,Discusses the reckless annihilation of fish and birds by the use of pesticides and warns of the possible genetic effects on humans.,2002.0,Nature,silent spring,"silent spring,Rachel Carson/Linda Lear/Edward O. Wilson,Nature,Discusses the reckless annihilation of fish and birds by the use of pesticides and warns of the possible genetic effects on humans."
1488,2719,The Lost Painting,Jonathan Harr,3.74,9780375759864,en-US,320.0,Art,"Recounts the search for a long-lost masterpiece by Italian Baroque master Michelangelo Caravaggio, following a young graduate student across hundreds of years and four countries to uncover the mystery of ""The Taking of Christ.""",2006.0,Art,the lost painting,"the lost painting,Jonathan Harr,Art,Recounts the search for a long-lost masterpiece by Italian Baroque master Michelangelo Caravaggio, following a young graduate student across hundreds of years and four countries to uncover the mystery of ""The Taking of Christ."""
1489,2721,Works of Hesiod and the Homeric Hymns,Hesiod/Daryl Hine,3.73,9780226329659,eng,230.0,Poetry,"Winner of the 2005 Harold Morton Landon Translation Award from the Academy of American Poets. In Works of Hesiod and the Homeric Hymns, highly acclaimed poet and translator Daryl Hine brings to life the words of Hesiod and the world of Archaic Greece. While most available versions of these early Greek writings are rendered in prose, Hine's illuminating translations represent these early classics as they originally appeared, in verse. Since prose was not invented as a literary medium until well after Hesiod's time, presenting these works as poems more closely approximates not only the mechanics but also the melody of the originals. This volume includes Hesiod's Works and Days and Theogony, two of the oldest non-Homeric poems to survive from antiquity. Works and Days is in part a farmer's almanac—filled with cautionary tales and advice for managing harvests and maintaining a good work ethic—and Theogony is the earliest comprehensive account of classical mythology—including the names and genealogies of the gods (and giants and monsters) of Olympus, the sea, and the underworld. Hine brings out Hesiod's unmistakable personality; Hesiod's tales of his escapades and his gritty and persuasive voice not only give us a sense of the author's own character but also offer up a rare glimpse of the everyday life of ordinary people in the eighth century BCE. In contrast, the Homeric Hymns are more distant in that they depict aristocratic life in a polished tone that reveals nothing of the narrators' personalities. These hymns (so named because they address the deities in short invocations at the beginning and end of each) are some of the earliest examples of epyllia, or short stories in the epic manner in Greek. This volume unites Hine's skillful translations of the Works of Hesiod and the Homeric Hymns—along with Hine's rendering of the mock-Homeric epic The Battle of the Frogs and the Mice—in a stunning pairing of these masterful classics.",2005.0,Poetry,works of hesiod and the homeric hymns,"works of hesiod and the homeric hymns,Hesiod/Daryl Hine,Poetry,Winner of the 2005 Harold Morton Landon Translation Award from the Academy of American Poets. In Works of Hesiod and the Homeric Hymns, highly acclaimed poet and translator Daryl Hine brings to life the words of Hesiod and the world of Archaic Greece. While most available versions of these early Greek writings are rendered in prose, Hine's illuminating translations represent these early classics as they originally appeared, in verse. Since prose was not invented as a literary medium until well after Hesiod's time, presenting these works as poems more closely approximates not only the mechanics but also the melody of the originals. This volume includes Hesiod's Works and Days and Theogony, two of the oldest non-Homeric poems to survive from antiquity. Works and Days is in part a farmer's almanac—filled with cautionary tales and advice for managing harvests and maintaining a good work ethic—and Theogony is the earliest comprehensive account of classical mythology—including the names and genealogies of the gods (and giants and monsters) of Olympus, the sea, and the underworld. Hine brings out Hesiod's unmistakable personality; Hesiod's tales of his escapades and his gritty and persuasive voice not only give us a sense of the author's own character but also offer up a rare glimpse of the everyday life of ordinary people in the eighth century BCE. In contrast, the Homeric Hymns are more distant in that they depict aristocratic life in a polished tone that reveals nothing of the narrators' personalities. These hymns (so named because they address the deities in short invocations at the beginning and end of each) are some of the earliest examples of epyllia, or short stories in the epic manner in Greek. This volume unites Hine's skillful translations of the Works of Hesiod and the Homeric Hymns—along with Hine's rendering of the mock-Homeric epic The Battle of the Frogs and the Mice—in a stunning pairing of these masterful classics."
1490,2722,The Death of Virgil,Hermann Broch/Jean Starr Untermeyer,4.19,9780679755487,eng,496.0,Fiction,"It is the reign of the Emperor Augustus, and Publius Vergilius Maro, the poet of the Aeneid and Caesar's enchanter, has been summoned to the palace, where he will shortly die. Out of the last hours of Virgil's life and the final stirrings of his consciousness, the Austrian writer Hermann Broch fashioned one of the great works of twentieth-century modernism, a book that embraces an entire world and renders it with an immediacy that is at once sensual and profound. Begun while Broch was imprisoned in a German concentration camp, The Death of Virgil is part historical novel and part prose poem -- and always an intensely musical and immensely evocative meditation on the relation between life and death, the ancient and the modern.",1995.0,Fiction,the death of virgil,"the death of virgil,Hermann Broch/Jean Starr Untermeyer,Fiction,It is the reign of the Emperor Augustus, and Publius Vergilius Maro, the poet of the Aeneid and Caesar's enchanter, has been summoned to the palace, where he will shortly die. Out of the last hours of Virgil's life and the final stirrings of his consciousness, the Austrian writer Hermann Broch fashioned one of the great works of twentieth-century modernism, a book that embraces an entire world and renders it with an immediacy that is at once sensual and profound. Begun while Broch was imprisoned in a German concentration camp, The Death of Virgil is part historical novel and part prose poem -- and always an intensely musical and immensely evocative meditation on the relation between life and death, the ancient and the modern."
1491,2723,The Eclogues of Virgil,Virgil/David Ferry,3.91,9780374526962,eng,112.0,Poetry,"Virgil's great lyrics, rendered by the acclaimed translator of The Odes of Horace and Gilgamesh The Eclogues of Virgil gave definitive form to the pastoral mode, and these magically beautiful poems, which were influential in so much subsequent literature, perhaps best exemplify what pastoral can do. ""Song replying to song replying to song,"" touchingly comic, poignantly sad, sublimely joyful, the various music that these shepherds make echoes in scenes of repose and harmony, and of hardship and trouble in work and love. A bilingual edition, The Eclogues of Virgil includes concise, informative notes and an Introduction that describes the fundamental role of this deeply original book in the pastoral tradition.",2000.0,Poetry,the eclogues of virgil,"the eclogues of virgil,Virgil/David Ferry,Poetry,Virgil's great lyrics, rendered by the acclaimed translator of The Odes of Horace and Gilgamesh The Eclogues of Virgil gave definitive form to the pastoral mode, and these magically beautiful poems, which were influential in so much subsequent literature, perhaps best exemplify what pastoral can do. ""Song replying to song replying to song,"" touchingly comic, poignantly sad, sublimely joyful, the various music that these shepherds make echoes in scenes of repose and harmony, and of hardship and trouble in work and love. A bilingual edition, The Eclogues of Virgil includes concise, informative notes and an Introduction that describes the fundamental role of this deeply original book in the pastoral tradition."
1492,2724,The DC Comics Encyclopedia,Scott Beatty/Robert Greenberger/Phil Jimenez/Daniel  Wallace,4.29,9780756605926,eng,352.0,Antiques & Collectibles,"A richly illustrated reference provides a definitive guide to all of the superheroes and archvillains of the DC universe, featuring more than one thousand different characters, including images from the original comic books, from the past sixty years of DC Comics.",2004.0,Antiques & Collectibles,the dc comics encyclopedia,"the dc comics encyclopedia,Scott Beatty/Robert Greenberger/Phil Jimenez/Daniel  Wallace,Antiques & Collectibles,A richly illustrated reference provides a definitive guide to all of the superheroes and archvillains of the DC universe, featuring more than one thousand different characters, including images from the original comic books, from the past sixty years of DC Comics."
1493,2725,Daniel Deronda,George Eliot/Earl L. Dachslager/George Stade,3.84,9781593082901,eng,796.0,Fiction,"Deronda, a high-minded young man searching for his path in life, finds himself drawn by a series of dramatic encounters into two contrasting worlds: the English country-house life of Gwendolen Harleth, a high-spirited beauty trapped in an oppressive marriage, and the very different lives of a poor Jewish girl, Mirah, and her family. As Deronda uncovers the long-hidden secret of his own parentage, Eliot's moving and suspenseful narrative opens up a world of Jewish experience previously unknown to the Victorian novel.",1876.0,Fiction,daniel deronda,"daniel deronda,George Eliot/Earl L. Dachslager/George Stade,Fiction,Deronda, a high-minded young man searching for his path in life, finds himself drawn by a series of dramatic encounters into two contrasting worlds: the English country-house life of Gwendolen Harleth, a high-spirited beauty trapped in an oppressive marriage, and the very different lives of a poor Jewish girl, Mirah, and her family. As Deronda uncovers the long-hidden secret of his own parentage, Eliot's moving and suspenseful narrative opens up a world of Jewish experience previously unknown to the Victorian novel."
1494,2727,King Leopold's Ghost,Adam Hochschild,4.15,9780618711673,eng,384.0,History,"In ""an enthralling story, full of fascinating characters, intense drama, high adventure, deceitful manipulation, courageous truth-telling, and splendid moral fervor"" (""Christian Science Monitor""), Hochschild tells the story of King Leopold of Belgium, a megalomaniac of monstrous portions. 31 photos. Map.",2006.0,History,king leopold's ghost,"king leopold's ghost,Adam Hochschild,History,In ""an enthralling story, full of fascinating characters, intense drama, high adventure, deceitful manipulation, courageous truth-telling, and splendid moral fervor"" (""Christian Science Monitor""), Hochschild tells the story of King Leopold of Belgium, a megalomaniac of monstrous portions. 31 photos. Map."
1495,2728,The Liberated Bride,A.B. Yehoshua/Hillel Halkin,3.77,9780156030168,en-US,576.0,Fiction,"As Yohanan Rivlin, a professor at Haifa University, embarks on research into turbulent recent Algerian history, with the help of one of his students, a young Arab bride from a Galilee village, he becomes obsessed with his son's failed marriage. Reprint. 35,000 first printing.",2004.0,Fiction,the liberated bride,"the liberated bride,A.B. Yehoshua/Hillel Halkin,Fiction,As Yohanan Rivlin, a professor at Haifa University, embarks on research into turbulent recent Algerian history, with the help of one of his students, a young Arab bride from a Galilee village, he becomes obsessed with his son's failed marriage. Reprint. 35,000 first printing."
1496,2729,Plan of Attack,Bob Woodward/Alice Mayhew,3.68,9780743255486,eng,480.0,Political Science,"Plan of Attack is the definitive account of how and why President George W. Bush, his war council, and allies launched a preemptive attack to topple Saddam Hussein and occupy Iraq. Bob Woodward's latest landmark account of Washington decision making provides an original, authoritative narrative of behind-the-scenes maneuvering over two years, examining the causes and consequences of the most controversial war since Vietnam. Based on interviews with 75 key participants and more than three and a half hours of exclusive interviews with President Bush, Plan of Attack is part presidential history charting the decisions made during 16 critical months; part military history revealing precise details and the evolution of the Top Secret war planning under the restricted codeword Polo Step; and part a harrowing spy story as the CIA dispatches a covert paramilitary team into northern Iraq six months before the start of the war. This team recruited 87 Iraqi spies designated with the cryptonym DB/ROCKSTARS, one of whom turned over the personnel files of all 6,000 men in Saddam Hussein's personal security organization. What emerges are astonishingly intimate portraits: President Bush in war cabinet meetings in the White House Situation Room and the Oval Office, and in private conversation; Dick Cheney, the focused and driven vice president; Colin Powell, the conflicted and cautious secretary of state; Donald Rumsfeld, the controlling war technocrat; George Tenet, the activist CIA director; Tommy Franks, the profane and demanding general; Condoleezza Rice, the ever-present referee and national security adviser; Karl Rove, the hands-on political strategist; other key members of the White House staff and congressional leadership; and foreign leaders ranging from British Prime Minister Blair to Russian President Putin. Plan of Attack provides new details on the intelligence assessments of Iraq's alleged weapons of mass destruction and the planning for the war's aftermath.",2004.0,Political Science,plan of attack,"plan of attack,Bob Woodward/Alice Mayhew,Political Science,Plan of Attack is the definitive account of how and why President George W. Bush, his war council, and allies launched a preemptive attack to topple Saddam Hussein and occupy Iraq. Bob Woodward's latest landmark account of Washington decision making provides an original, authoritative narrative of behind-the-scenes maneuvering over two years, examining the causes and consequences of the most controversial war since Vietnam. Based on interviews with 75 key participants and more than three and a half hours of exclusive interviews with President Bush, Plan of Attack is part presidential history charting the decisions made during 16 critical months; part military history revealing precise details and the evolution of the Top Secret war planning under the restricted codeword Polo Step; and part a harrowing spy story as the CIA dispatches a covert paramilitary team into northern Iraq six months before the start of the war. This team recruited 87 Iraqi spies designated with the cryptonym DB/ROCKSTARS, one of whom turned over the personnel files of all 6,000 men in Saddam Hussein's personal security organization. What emerges are astonishingly intimate portraits: President Bush in war cabinet meetings in the White House Situation Room and the Oval Office, and in private conversation; Dick Cheney, the focused and driven vice president; Colin Powell, the conflicted and cautious secretary of state; Donald Rumsfeld, the controlling war technocrat; George Tenet, the activist CIA director; Tommy Franks, the profane and demanding general; Condoleezza Rice, the ever-present referee and national security adviser; Karl Rove, the hands-on political strategist; other key members of the White House staff and congressional leadership; and foreign leaders ranging from British Prime Minister Blair to Russian President Putin. Plan of Attack provides new details on the intelligence assessments of Iraq's alleged weapons of mass destruction and the planning for the war's aftermath."
1497,2730,Acts of Faith,Philip Caputo,3.94,9780375725975,eng,688.0,Fiction,"A disparate group of men and women confronts their own individual moral crises, fears, and physical dangers as they work to alleviate the hardships and suffering caused by civil war and famine in contemporary Sudan. Reader's Guide available. Reprint. 60,000 first printing.",2006.0,Fiction,acts of faith,"acts of faith,Philip Caputo,Fiction,A disparate group of men and women confronts their own individual moral crises, fears, and physical dangers as they work to alleviate the hardships and suffering caused by civil war and famine in contemporary Sudan. Reader's Guide available. Reprint. 60,000 first printing."
1498,2731,Mortals,Norman Rush,3.74,9780679737117,en-US,736.0,Fiction,"In the heart of Botswana, the live of three ex-patriate Americans--a contract CIA agent undercover in the guise of an English instructor at a private school, his disaffected wife, and an iconoclastic black holistic physician--entangle with that of a local populist leader as a violent insurrection erupts in the area. Reader's Guide available. Reprint. 10,000 first printing.",2004.0,Fiction,mortals,"mortals,Norman Rush,Fiction,In the heart of Botswana, the live of three ex-patriate Americans--a contract CIA agent undercover in the guise of an English instructor at a private school, his disaffected wife, and an iconoclastic black holistic physician--entangle with that of a local populist leader as a violent insurrection erupts in the area. Reader's Guide available. Reprint. 10,000 first printing."
1499,2732,Bury the Chains,Adam Hochschild,4.28,9780618619078,eng,496.0,History,"Offers an account of the first great human rights crusade, which originated in England in the 1780s and resulted in the freeing of hundreds of thousands of slaves around the world.",2006.0,History,bury the chains,"bury the chains,Adam Hochschild,History,Offers an account of the first great human rights crusade, which originated in England in the 1780s and resulted in the freeing of hundreds of thousands of slaves around the world."
