,index,title,authors,average_rating,isbn13,language_code,num_pages,categories,description,published_year,new_categories,lower_title,combined_features
565,1325,Insects & Spiders,David Burnie,4.5,9780783548814,eng,64.0,Juvenile Nonfiction,"An introduction to the physical characteristics, habits, and habitats of different types of insects and spiders.",1997.0,Juvenile Nonfiction,insects & spiders,"insects & spiders,David Burnie,Juvenile Nonfiction,An introduction to the physical characteristics, habits, and habitats of different types of insects and spiders."
566,1326,Prophet,Frank E. Peretti,3.94,9781581345261,en-US,416.0,Fiction,"Anchorman John Barrett knows something is wrong. The story doesn't add up. Prompted by extraordinary spiritual experiences, he begins to uncover a story about abortion that no one wants to hear.",2004.0,Fiction,prophet,"prophet,Frank E. Peretti,Fiction,Anchorman John Barrett knows something is wrong. The story doesn't add up. Prompted by extraordinary spiritual experiences, he begins to uncover a story about abortion that no one wants to hear."
567,1327,Rat Race,Dick Francis,3.98,9780425210765,eng,304.0,Fiction,"Assigned to fly four racing buffs to the track, pilot Matt Shore is forced to make an emergency landing, and he soon finds out that the mob has been tampering with the horseracing industry. Reprint.",2006.0,Fiction,rat race,"rat race,Dick Francis,Fiction,Assigned to fly four racing buffs to the track, pilot Matt Shore is forced to make an emergency landing, and he soon finds out that the mob has been tampering with the horseracing industry. Reprint."
568,1328,Slay Ride,Dick Francis,3.82,9780425196731,en-US,288.0,Fiction,A series of bizarre incidents befalls British investigator David Cleveland when he is sent to Norway to uncover the truth behind the disappearance of champion British jockey Robert Sherman. Reissue.,2004.0,Fiction,slay ride,"slay ride,Dick Francis,Fiction,A series of bizarre incidents befalls British investigator David Cleveland when he is sent to Norway to uncover the truth behind the disappearance of champion British jockey Robert Sherman. Reissue."
569,1329,Blood Sport,Dick Francis,3.89,9780425199169,eng,288.0,Fiction,"Reluctantly agreeing to locate a missing priceless breeding stallion for his employer, Gene Hawkins suddenly finds himself the target of millionaire Dave Teller's socialite wife, as he falls in love with his own boss's daughter and becomes the prey of a vicious gang of horse thieves. Reprint.",2004.0,Fiction,blood sport,"blood sport,Dick Francis,Fiction,Reluctantly agreeing to locate a missing priceless breeding stallion for his employer, Gene Hawkins suddenly finds himself the target of millionaire Dave Teller's socialite wife, as he falls in love with his own boss's daughter and becomes the prey of a vicious gang of horse thieves. Reprint."
570,1330,Field of Thirteen,Dick Francis,3.73,9780425194997,eng,304.0,Fiction,"A four-time Edgar Award winner presents a fast-paced collection of 13 tightly plotted tales featuring murder, mystery, and mayhem in the horse racing world. ""Whether it's an elegy for a sports writer on the skids or the ballad of a Welsh groom and her social-climbing daughter, the stories linger long after you turn the page.""--""Entertainment Weekly.""",2004.0,Fiction,field of thirteen,"field of thirteen,Dick Francis,Fiction,A four-time Edgar Award winner presents a fast-paced collection of 13 tightly plotted tales featuring murder, mystery, and mayhem in the horse racing world. ""Whether it's an elegy for a sports writer on the skids or the ballad of a Welsh groom and her social-climbing daughter, the stories linger long after you turn the page.""--""Entertainment Weekly."""
571,1331,Driving Force,Dick Francis,3.96,9780449221396,eng,384.0,Fiction,"When a hitchhiker picked up by one of his drivers is later found murdered, ex-jockey Freddie Croft, the owner of a profitable fleet of horse vans, is drawn into the mystery.",1993.0,Fiction,driving force,"driving force,Dick Francis,Fiction,When a hitchhiker picked up by one of his drivers is later found murdered, ex-jockey Freddie Croft, the owner of a profitable fleet of horse vans, is drawn into the mystery."
572,1332,Flying Finish,Dick Francis,3.97,9780515125603,eng,276.0,Fiction,"To escape the demands of his ancestral home, Henry Grey takes a job ferrying race horses across the Atlantic and becomes involved in a crime syndicate",1999.0,Fiction,flying finish,"flying finish,Dick Francis,Fiction,To escape the demands of his ancestral home, Henry Grey takes a job ferrying race horses across the Atlantic and becomes involved in a crime syndicate"
573,1333,Banker,Dick Francis,4.06,9780718132385,eng,288.0,Fiction,"It is difficult to say where disaster begins, to point towards one particular happening as the first definite step towards distant cataclysm. Looking back, Tim Ekaterin sees the beginning as the day his boss stepped into a fountain. Onwards from there, he comes across people and events as yet unconnected but which, when woven together by time and chance, leads towards violent explosive action and the threat of death. Set in the worlds of thoroughbred racing and merchant banking, the story covers a span of three years, growing from quiet harmless-seeming seeds to a wholly horrific harvest.",2000.0,Fiction,banker,"banker,Dick Francis,Fiction,It is difficult to say where disaster begins, to point towards one particular happening as the first definite step towards distant cataclysm. Looking back, Tim Ekaterin sees the beginning as the day his boss stepped into a fountain. Onwards from there, he comes across people and events as yet unconnected but which, when woven together by time and chance, leads towards violent explosive action and the threat of death. Set in the worlds of thoroughbred racing and merchant banking, the story covers a span of three years, growing from quiet harmless-seeming seeds to a wholly horrific harvest."
574,1334,Odds Against,Dick Francis,4.06,9780515125511,eng,288.0,Fiction,"Depressed since the accident that ended his racing career, Sid Halley accepts a position at a detective agency, but only really comes out of his shell when he becomes part of a murder investigation. Reprint.",2005.0,Fiction,odds against,"odds against,Dick Francis,Fiction,Depressed since the accident that ended his racing career, Sid Halley accepts a position at a detective agency, but only really comes out of his shell when he becomes part of a murder investigation. Reprint."
575,1335,The Life of Sir Arthur Conan Doyle,John Dickson Carr/Daniel Stashower,4.01,9780786712342,eng,320.0,Biography & Autobiography,"A profile based on the subject's personal archives describes such topics as Doyle's education at Stonyhurst and Edinburgh University, his Southsea medical practice, his two marriages, his forays into politics and spiritualism, his friendships with such figures as H. G. Wells and King Edward VII, and his literary ambitions. Reprint.",2003.0,Biography & Autobiography,the life of sir arthur conan doyle,"the life of sir arthur conan doyle,John Dickson Carr/Daniel Stashower,Biography & Autobiography,A profile based on the subject's personal archives describes such topics as Doyle's education at Stonyhurst and Edinburgh University, his Southsea medical practice, his two marriages, his forays into politics and spiritualism, his friendships with such figures as H. G. Wells and King Edward VII, and his literary ambitions. Reprint."
576,1336,Robbins and Cotran Review of Pathology,Edward C. Klatt/Vinay   Kumar,4.33,9780721601946,en-US,432.0,Medical,"More than 1,000 questions cover everything from the fundamentals of gross and microscopic pathology to the latest findings in molecular biology and genetics. This is an ideal preparatory tool for the classroom, the USMLE Step 1, or the American Board of Pathology exam.",2005.0,Medical,robbins and cotran review of pathology,"robbins and cotran review of pathology,Edward C. Klatt/Vinay   Kumar,Medical,More than 1,000 questions cover everything from the fundamentals of gross and microscopic pathology to the latest findings in molecular biology and genetics. This is an ideal preparatory tool for the classroom, the USMLE Step 1, or the American Board of Pathology exam."
577,1337,Fierce Invalids Home from Hot Climates,Tom Robbins,4.03,9780553379334,en-US,445.0,Fiction,"Switters, an anarchist pacifist who works for the government and carries a gun, chases after his teenage stepsister, only to become madly enamored of a nun a decade older than him, in this hilarious new novel by the author of Even Cowgirls Get the Blues. Reprint. 50,000 first printing.",2000.0,Fiction,fierce invalids home from hot climates,"fierce invalids home from hot climates,Tom Robbins,Fiction,Switters, an anarchist pacifist who works for the government and carries a gun, chases after his teenage stepsister, only to become madly enamored of a nun a decade older than him, in this hilarious new novel by the author of Even Cowgirls Get the Blues. Reprint. 50,000 first printing."
578,1339,Jitterbug Perfume,Tom Robbins,4.25,9781842430354,eng,342.0,Fiction,Reissue of the classic Tom Robbins novel which has been a bestseller since first released.,2001.0,Fiction,jitterbug perfume,"jitterbug perfume,Tom Robbins,Fiction,Reissue of the classic Tom Robbins novel which has been a bestseller since first released."
579,1340,Palimpsest,Gore Vidal,3.99,9780140260892,en-US,448.0,BIOGRAPHY & AUTOBIOGRAPHY,"The author of Myra Breckenridge reminisces about his life, from his school days at St. Albans and Exeter to his rise as a literary superstar, and the famous people he has known, including the Kennedys, the Duke and Duchess of Windsor, and Eleanor Roosevelt. Reprint.",1996.0,BIOGRAPHY & AUTOBIOGRAPHY,palimpsest,"palimpsest,Gore Vidal,BIOGRAPHY & AUTOBIOGRAPHY,The author of Myra Breckenridge reminisces about his life, from his school days at St. Albans and Exeter to his rise as a literary superstar, and the famous people he has known, including the Kennedys, the Duke and Duchess of Windsor, and Eleanor Roosevelt. Reprint."
580,1341,Lincoln,Gore Vidal,4.21,9780375708763,eng,736.0,Political fiction,"In the hazardous fictional terrain of his historical novels, Gore Vidal is never especially kind to American history in general, or to its icons in particular. Yet in this brilliantly realised study of Abraham Lincoln, he paints a surprising and near-heroic picture of the man who led America through four of the most divisive and dangerous years of the nation's history. Observed alternately by his loved ones, his rivals and his future assassins, Lincoln at first appears as an inept and naïve backwoods lawyer. People in this novel are not averse to turning up, getting drunk, and regaling the reader with details of Lincoln's whoring activities and his seemingly inexhaustible supply of folksy stories. Yet gradually Lincoln the towering leader of deep vision emerges in a Washington engulfed by fear, greed and the horrors of the Civil War. Lincoln's loving but mentally decomposing wife, his view from the White House on slavery and America's bloodiest war, and his own, fierce personal ambition: all are portrayed with a vibrancy and an urgency that almost belies what they have now become ? history itself.",1994.0,Political fiction,lincoln,"lincoln,Gore Vidal,Political fiction,In the hazardous fictional terrain of his historical novels, Gore Vidal is never especially kind to American history in general, or to its icons in particular. Yet in this brilliantly realised study of Abraham Lincoln, he paints a surprising and near-heroic picture of the man who led America through four of the most divisive and dangerous years of the nation's history. Observed alternately by his loved ones, his rivals and his future assassins, Lincoln at first appears as an inept and naïve backwoods lawyer. People in this novel are not averse to turning up, getting drunk, and regaling the reader with details of Lincoln's whoring activities and his seemingly inexhaustible supply of folksy stories. Yet gradually Lincoln the towering leader of deep vision emerges in a Washington engulfed by fear, greed and the horrors of the Civil War. Lincoln's loving but mentally decomposing wife, his view from the White House on slavery and America's bloodiest war, and his own, fierce personal ambition: all are portrayed with a vibrancy and an urgency that almost belies what they have now become ? history itself."
